,id,doi,title,author,journaltitle,volume,issue,pubdate,pagerange,publisher,type,reviewed-work,abstract
0,10.2307/2287721,10.2307/2287721,The Well-Calibrated Bayesian: Comment,Joseph B. Kadane,Journal of the American Statistical Association,77,379,1982-09-01T00:00:00Z,pp. 610-611,American Statistical Association,fla,,
1,10.2307/2286109,10.2307/2286109,,Andrew Sterrett,Journal of the American Statistical Association,64,328,1969-12-01T00:00:00Z,pp. 1676-1677,American Statistical Association,brv,Statistics for Mathematicians--An Introduction.|D. J. Finney,
2,10.2307/2287992,10.2307/2287992,The Equivalence of Regression-Simple and Best-Linear-Unbiased Estimators With Type II Censored Data from a Location Scale Distribution,Luis A. Escobar,Journal of the American Statistical Association,81,393,1986-03-01T00:00:00Z,pp. 210-214,American Statistical Association,fla,,This article gives necessary and sufficient conditions for the equivalence of the simple linear unbiased estimator (SLUE) and the best linear unbiased estimator (BLUE) of the parameters when there are k independent sources of Type II censored data from a location scale distribution in which the location parameter is an unknown linear function of certain given independent variables and the scale parameter is an unknown constant. It also shows that the BLUE can be obtained in a two-stage procedure that has the same model-checking features and computational simplicity of the SLUE.
3,10.2307/2284631,10.2307/2284631,The Distribution by Age of the Frequency of First Marriage in a Female Cohort,"A. J. Coale, D. R. McNeil",Journal of the American Statistical Association,67,340,1972-12-01T00:00:00Z,pp. 743-749,American Statistical Association,fla,,"The schedule recording first marriage frequencies has been shown to take the same basic form in different populations, with differences only in the origin, area, and horizontal scale. It is shown here that a representative schedule is very closely approximated by a simple closed form frequency function, which is the limiting distribution of the convolution of an infinite number of exponentially distributed components. The schedule is approximated equally well by the convolution of a normal distribution (of age of entry into a marriageable state) and as few as three exponentially distributed delays. The latter convolution provides a plausible model of nuptiality, a model that receives surprising empirical support."
4,10.2307/2288680,10.2307/2288680,,Roy Gardner,Journal of the American Statistical Association,78,382,1983-06-01T00:00:00Z,p. 502,American Statistical Association,brv,Game Theory (2nd Ed.).|Guillermo Owen,
5,10.2307/2291505,10.2307/2291505,Front Matter,,Journal of the American Statistical Association,90,432,1995-12-01T00:00:00Z,,American Statistical Association,mis,,
6,10.2307/2291642,10.2307/2291642,On Variance Estimation With Imputed Survey Data: Rejoinder,Robert E. Fay,Journal of the American Statistical Association,91,434,1996-06-01T00:00:00Z,pp. 517-519,American Statistical Association,fla,,
7,10.2307/2282207,10.2307/2282207,Problems Met by Companies that Instruct their Employees in Statistical Methodology,Theodore H. Brown,Journal of the American Statistical Association,28,181,1933-03-01T00:00:00Z,pp. 10-14,American Statistical Association,fla,,
8,10.2307/2283290,10.2307/2283290,Notes About Authors,,Journal of the American Statistical Association,58,302,1963-06-01T00:00:00Z,pp. 538-540,American Statistical Association,mis,,
9,10.2307/2281963,10.2307/2281963,Notes on Immigration Statistics of the United States,E. P. Hutchinson,Journal of the American Statistical Association,53,284,1958-12-01T00:00:00Z,pp. 963-1025,American Statistical Association,fla,,
