,0
0,-711200.240058
1,-706956.092251
2,-707122.767992
3,-705746.249197
4,-707405.883032
5,-707486.269455
6,-707985.745167
7,-706535.998657
8,-703277.438957
9,-701809.06363
10,-705703.968521
11,-708860.164256
12,-709616.607174
13,-709916.009901
14,-709716.147844
15,-709523.25089
16,-705389.661808
17,-703120.359882
18,-704104.657554
19,-703708.779979
20,-707159.190471
21,-706906.182351
22,-709205.183099
23,-708440.16084
24,-708287.428401
25,-707796.686794
26,-709551.933064
27,-710880.175116
28,-710213.133629
29,-709777.508457
30,-708044.738307
31,-704909.464272
32,-708446.124214
33,-708936.292387
34,-707780.815846
35,-708149.372741
36,-708670.064849
37,-707607.55324
38,-705615.602287
39,-708599.055465
40,-705300.351541
41,-708982.991142
42,-708031.825364
43,-708573.038705
44,-709751.499107
45,-707975.698824
46,-708734.614864
47,-708978.111137
48,-707452.384721
49,-702751.597173
50,-703688.602651
51,-705990.454225
52,-706413.692108
53,-706018.821743
54,-707036.503462
55,-707555.367353
56,-708268.086236
57,-708687.445838
58,-709356.197628
59,-709273.794763
60,-705600.983243
61,-708557.147807
62,-708421.524775
63,-708418.072505
64,-708219.407357
65,-705729.099392
66,-705878.46458
67,-709760.452274
68,-708531.852145
69,-705650.581895
70,-706327.870922
71,-708350.00682
72,-705506.321708
73,-707624.555878
74,-710110.918821
75,-709665.821592
76,-709329.5977
77,-709901.133648
78,-707550.659798
79,-702558.178557
80,-701724.431226
81,-703361.109781
82,-705676.428603
83,-707177.7292
84,-708749.517411
85,-710044.244641
86,-709489.591367
87,-708475.784991
88,-707919.961999
89,-707032.552218
90,-706434.589872
91,-705732.108418
92,-703325.83359
93,-706256.434299
94,-709353.143233
95,-710241.788518
96,-710343.553288
97,-707998.724687
98,-706356.487599
99,-705367.805951
100,-704844.04471
101,-708089.668401
102,-709865.380023
103,-708974.971683
104,-707466.521628
105,-706341.876851
106,-706276.826936
107,-706003.064187
108,-704835.059499
109,-708833.318402
110,-709716.013128
111,-706211.938721
112,-707890.672254
113,-707880.121597
114,-708922.13387
115,-703970.084333
116,-704670.487072
117,-702910.144063
118,-703836.691048
119,-704098.889372
120,-708545.445664
121,-708352.475084
122,-706027.780791
123,-701878.353749
124,-700660.288981
125,-705626.826407
126,-706022.761281
127,-703723.682099
128,-707464.389782
129,-708051.343902
130,-707942.109568
131,-710161.554332
132,-708318.278306
133,-705442.185487
134,-704482.261732
135,-706164.926733
136,-706903.730092
137,-704172.534265
138,-706909.859305
139,-708917.497287
140,-708144.515612
141,-706905.14612
142,-704797.976694
143,-704587.934026
144,-701688.754765
145,-706910.973122
146,-707514.106081
147,-709369.204258
148,-707137.478489
149,-708088.132179
150,-708367.392648
151,-706582.090048
152,-703385.092174
153,-702859.596708
154,-705779.669054
155,-706449.085976
156,-705668.728158
157,-707263.266374
158,-706667.573461
159,-701564.843999
160,-704447.442003
161,-706045.216739
162,-705651.52283
163,-703141.016755
164,-706783.91814
165,-708127.234813
166,-708149.879992
167,-707456.260189
168,-708784.670905
169,-708408.201402
170,-706314.289071
171,-706760.450879
172,-706411.012846
173,-708945.431868
174,-709082.765085
175,-708702.917404
176,-708328.09409
177,-709125.156065
178,-704983.88434
179,-705992.984599
180,-707931.946694
181,-706524.947963
182,-706113.345898
183,-704984.758893
184,-702767.940768
185,-704015.285565
186,-706086.270571
187,-708384.369569
188,-707284.279224
189,-705374.494413
190,-707653.861924
191,-708068.870414
192,-709593.353371
193,-710927.567314
194,-709726.161627
195,-709216.599214
196,-708352.141541
197,-707091.223001
198,-705385.223904
199,-707367.671227
200,-706179.602521
201,-708097.404385
202,-705983.715658
203,-708928.237063
204,-709498.937024
205,-709400.848482
206,-707424.472169
207,-706833.892727
208,-706483.175459
209,-709536.012149
210,-709544.629982
211,-705156.026108
212,-704898.27883
213,-710067.515533
214,-710210.529338
215,-708897.025337
216,-707570.253917
217,-707097.282419
218,-708196.47593
219,-709107.738514
220,-704443.612769
221,-705054.54743
222,-705041.866447
223,-706601.629921
