id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/20152450	10.2307/20152450	Recall after Relearning by Fast and Slow Learners	J. Ronald Gentile, Kristin E. Voelkl, Joni Mt. Pleasant, Nanci M. Monaco	The Journal of Experimental Education	63	3	1995-04-01T00:00:00Z	pp. 185-197	Taylor & Francis, Ltd.	fla		Rates of forgetting among fast and slow learners have been shown to be equivalent if learners are equated for amount of original learning on a memorization task. This finding is quite robust across a variety of learning tasks, materials, and experimental procedures. The authors of the present study replicated these findings with fourth and fifth graders, showing that, once they learned a poem to the same criterion level (75-90% correct), the fast and slow learners recalled approximately the same amount of the poem after 7 days. The experiment was extended by having the students relearn the poem to the same criterion level and testing their retention. After students were re-equated on relearning the poem, however, fast learners recalled significantly more than slow learners at both 14-day and 28-day intervals. Thus, the forgetting curves for fast and slow learners were the same after original learning, but different after relearning. Possible causes of this difference are discussed in terms of the literature on learning and metacognitive strategies.	
10.2307/27750498	10.2307/27750498	Mergers in India: A Response to Regulatory Shocks	Manish Agarwal, Aditya Bhattacharjea	Emerging Markets Finance & Trade	42	3	2006-05-01T00:00:00Z	pp. 46-65	M.E. Sharpe, Inc.	fla		Recent empirical research shows that industry and regulatory shocks play a key role in determining merger activity in developed countries. We use this framework to analyze merger activity in India, using a comprehensive database spanning a thirty-year period, from 1973–74 to 2002–3. At the industry level, we identify clustering of merger activity in India, indicating that mergers may be a response to industry and regulatory shocks. At the firm level, the 1991 amendments to the Monopolies and Restrictive Trade Practices (MRTP) Act, which removed premerger scrutiny, are found to have a positive and significant effect on merger behavior of firms that had been under its purview. After the 1991 amendments, firms underwent mergers that would have been scrutinized by the MRTP Act otherwise. These mergers were undertaken for expansionary reasons.	
10.2307/352108	10.2307/352108	Effects of Parental Separation and Reentry into Union on the Emotional Well-Being of Children	Nazli Baydar	Journal of Marriage and Family	50	4	1988-11-01T00:00:00Z	pp. 967-981	National Council on Family Relations	fla		Although researchers in family sociology and clinical psychology generally hold the view that family transitions are detrimental to children's well-being, many empirical sociological studies do not support this view. In the present study, data from the two waves of the National Survey of Children are used to investigate the impact of family transitions on changes in emotional and behavioral problems as reported by the mothers. The results show that there are sex differentials in the changes in emotional well-being that can be attributed to family transitions. The results also indicate that an increase in emotional and behavioral problems can be attributed to remarriage but not to divorce.	
10.2307/1072255	10.2307/1072255	The Supreme Court, the Adversary System, and the Flow of Information to the Justices: A Preliminary Inquiry	Arthur Selwyn Miller, Jerome A. Barron	Virginia Law Review	61	6	1975-10-01T00:00:00Z	pp. 1187-1245	Virginia Law Review	fla			
10.2307/2880856	10.2307/2880856	Front Matter		Science	259	5099	1993-02-26T00:00:00Z	pp. 1225-1347	American Association for the Advancement of Science	mis			
10.2307/2085716	10.2307/2085716	Back Matter		American Sociological Review	7	5	1942-10-01T00:00:00Z		American Sociological Association	mis			
10.2307/20647959	10.2307/20647959	International Organization as a Seal of Approval: European Union Accession and Investor Risk	Julia Gray	American Journal of Political Science	53	4	2009-10-01T00:00:00Z	pp. 931-949	Midwest Political Science Association	fla		Much of the literature on international institutions argues that membership regularizes expectations about members' future behavior. Using the accession of the postcommunist countries as a test case, this article argues that the EU can send strong signals to financial markets about the trajectory of a particular country. Examining spreads on sovereign debt from 1990 to 2006, this article shows that closing negotiation chapters on domestic economic policy—in other words, receiving a seal of approval from Brussels that previously existing policy reform is acceptable to the wider EU—substantially decreases perceptions of default risk in those countries. That decrease operates independently from policy reform that the country has taken and is also distinct from selection processes (modeled here with new variables, including UNESCO World Heritage sites and domestic movie production, that proxy for cultural factors). Thus, this particular international organization has played an important role in coordinating market sentiment on members, conferring confidence that policy reform alone could not accomplish.	
10.2307/146314	10.2307/146314	Bootstrap Methods for Covariance Structures	Joel L. Horowitz	The Journal of Human Resources	33	1	1998-01-01T00:00:00Z	pp. 39-61	University of Wisconsin Press	fla		The optimal minimum distance (OMD) estimator for models of covariance structures is asymptotically efficient but has much worse finite-sample properties than does the equally weighted minimum distance (EWMD) estimator. This paper shows how the bootstrap can be used to improve the finite-sample performance of the OMD estimator. The theory underlying the bootstrap's ability to reduce the bias of estimators and errors in the coverage probabilities of confidence intervals is summarized. The results of numerical experiments and an empirical example show that the bootstrap often essentially eliminates the bias of the OMD estimator. The finite-sample estimation efficiency of the bias-corrected OMD estimator often exceeds that of the EWMD estimator. Moreover, the true coverage probabilities of confidence intervals based on the OMD estimator with bootstrap-critical values are very close to the nominal coverage probabilities.	
10.2307/2685099	10.2307/2685099	Quality/Value Relationship for Imperfect Information in the Umbrella Problem	Richard W. Katz, Allan H. Murphy	The American Statistician	41	3	1987-08-01T00:00:00Z	pp. 187-189	American Statistical Association	fla		The so-called umbrella problem (or cost-loss ratio situation), in which an individual must decide whether to take an umbrella in the face of uncertainty concerning whether it will rain today, is sometimes used as a textbook example of decision making under uncertainty. This problem is extended to provide a simple demonstration of the way in which the economic value of imperfect information changes as its quality increases.	
10.2307/1617759	10.2307/1617759	Preferential MyoD Homodimer Formation Demonstrated by a General Method of Dominant Negative Mutation Employing Fusion with a Lysosomal Protease	Feng-Qian Li, Archie Coonrod, Marshall Horwitz	The Journal of Cell Biology	135	4	1996-11-01T00:00:00Z	pp. 1043-1057	The Rockefeller University Press	fla		We report on a general strategy for engineering dominant negative mutations that, in principle, requires neither extensive structural or functional knowledge of the targeted protein. The approach consists of fusing the lysosomal protease cathepsin B (CB) to a subunit of a multimeric protein. The CB fusion polypeptide can proteolytically digest the multimer and/or detour the multimer from its usual subcellular destination to the lysosome. We first demonstrate the general validity of the approach with CB fusion to E. coli lacZ, encoding tetrameric β-galactosidase. Cotransfection of NIH 3T3 cells with a vector expressing a CB-lacZ fusion inhibits the β-galactosidase activity produced by transfection of lacZ alone. We infer that the dominant negative inhibition results from both direct proteolysis of the β-galactosidase tetramer by the fusion subunit and detour of the tetramer to the lysosome. In a specific application of this strategy, we have fused CB to the dimeric bHLH skeletal muscle transcription factor MyoD. The CB-MyoD fusion protein localizes to the cytoplasm, presumably the lysosome, demonstrating the dominance of lysosomal localization to nuclear localization. The CB-MyoD fusion appears to divert homodimerizing native MyoD from its usual nuclear destination, consequently inhibiting MyoD-mediated transactivation and in vitro differentiation of C2C12 myoblasts. Surprisingly, the CB-MyoD fusion fails to interact with the bHLH heterodimerization partners, E12 and E47, suggesting preferential MyoD homodimer formation, at least in the prenuclear cellular compartments.	
