WORDCOUNTS,WEIGHT
the,411
no,347
and,277
in,268
of,250
a,95
spr,64
israel,59
palestinian,56
s,47
to,47
israeli,42
arabic,41
arab,40
middle,38
palestine,38
jun,38
east,37
win,35
journal,31
mar,30
la,28
for,27
peace,27
policy,26
de,26
jerusalem,26
sum,26
fall,26
isa,26
studies,24
on,24
d,24
may,23
l,23
international,22
et,21
political,20
m,20
an,20
j,19
world,19
law,19
new,19
from,19
e,18
politics,18
nos,18
war,18
r,18
society,18
al,17
apr,16
jordan,16
cm,16
iss,16
mdf,15
ma,15
social,15
aug,15
feb,15
aut,14
rights,13
hls,13
orient,13
pijpec,13
mej,13
history,12
state,12
conflict,12
review,12
arabs,12
literature,12
mesa,12
with,12
between,12
tion,11
case,11
process,11
jewish,11
le,11
intifada,11
by,11
national,11
i,10
eastern,10
relations,10
study,10
eds,10
abu,10
des,10
filj,10
american,9
authority,9
jul,9
t,9
bibliography,9
oct,9
sha,9
michael,9
palestinians,9
health,9
as,9
education,9
rep,9
jan,9
security,8
or,8
jqf,8
dec,8
interview,8
sht,8
text,8
iraq,8
h,7
tinian,7
zionism,7
human,7
g,7
david,7
p,7
cultural,7
periodical,7
bank,7
role,7
gaza,7
nfw,7
quarterly,7
sa,6
group,6
israe,6
modern,6
daniel,6
u,6
west,6
development,6
b,6
their,6
zionist,6
meria,6
im,6
part,6
its,6
holy,6
violence,6
management,6
terrorism,6
identity,6
co,6
k,6
land,6
btl,6
foreign,6
economy,6
ahmad,6
debate,6
at,5
jews,5
jonathan,5
nationalism,5
system,5
america,5
pappe,5
media,5
cronin,5
mes,5
n,5
w,5
change,5
settlement,5
hebrew,5
economic,5
asq,5
bishara,5
water,5
geography,5
mei,5
hillel,5
meq,5
rachel,5
un,5
tive,5
c,5
assessment,5
tine,5
re,5
nov,5
crisis,5
among,5
cross,5
struggle,4
moshe,4
ihr,4
military,4
book,4
forum,4
mep,4
affairs,4
perspective,4
york,4
marwan,4
how,4
sarah,4
reflections,4
union,4
muslim,4
public,4
women,4
during,4
ali,4
discourse,4
ment,4
f,4
critical,4
ers,4
strategic,4
about,4
culture,4
sector,4
other,4
attacks,4
model,4
road,4
tselem,4
local,4
after,4
can,4
islamic,4
life,4
analysis,4
is,4
not,4
over,4
king,4
alexander,4
report,4
city,4
transition,4
tions,4
refugees,4
washington,4
abdul,4
eia,3
ments,3
red,3
fadle,3
western,3
into,3
tpv,3
sources,3
strip,3
haim,3
rafael,3
issue,3
resources,3
labor,3
isf,3
barrier,3
century,3
hussein,3
y,3
occupation,3
shamir,3
camp,3
en,3
special,3
oren,3
thought,3
thomas,3
occupational,3
brcme,3
shibley,3
impact,3
welfare,3
groundwater,3
strategy,3
globalization,3
future,3
search,3
frisch,3
shlomo,3
reviews,3
nevo,3
syria,3
lebanon,3
planning,3
civil,3
minority,3
status,3
nomic,3
resistance,3
und,3
separation,3
die,3
return,3
religious,3
under,3
une,3
ed,3
but,3
violations,3
regional,3
organizations,3
paul,3
oslo,3
power,3
tls,3
europe,3
reform,3
muhammad,3
books,3
ilan,3
ethnic,3
telhami,3
bjwa,3
students,3
wsif,3
ties,3
tional,3
yael,3
times,3
martin,3
comparing,3
iahs,3
versus,3
occupied,3
me,3
perspectives,3
transformation,3
changing,3
bush,3
hamas,3
anthropology,3
steven,3
ahr,3
hassan,3
historical,3
sociology,3
attitudes,3
shu,3
tudes,3
art,3
through,3
azmi,3
jama,3
question,3
invasion,3
sur,3
comparison,3
territories,3
terrorists,3
early,3
democracy,2
bernard,2
ghanem,2
o,2
ethics,2
commentary,2
shohat,2
center,2
civile,2
sayh,2
salinity,2
former,2
position,2
committee,2
migration,2
nasser,2
baker,2
laura,2
christison,2
cotran,2
that,2
bichler,2
interests,2
all,2
vivre,2
principles,2
refugee,2
jenin,2
narrative,2
hasan,2
hannah,2
suleiman,2
religion,2
hanna,2
sep,2
last,2
najat,2
nal,2
issam,2
within,2
curtis,2
context,2
british,2
baumgarten,2
identities,2
right,2
marc,2
cooperation,2
enforcement,2
shared,2
april,2
lacc,2
laws,2
knesset,2
behavior,2
framework,2
central,2
amer,2
collapse,2
roger,2
since,2
against,2
movement,2
dominique,2
z,2
ghassan,2
adam,2
old,2
immigrants,2
cohen,2
third,2
blue,2
roundtable,2
critique,2
bedouin,2
efraim,2
terror,2
liberte,2
naqib,2
operation,2
pfullmann,2
starkey,2
russian,2
reuther,2
ella,2
watch,2
palestiniennes,2
killing,2
goes,2
legal,2
importance,2
benjamin,2
dialogue,2
nabil,2
stein,2
pedahzur,2
space,2
boas,2
university,2
colonialism,2
palestiniens,2
amman,2
age,2
ibrahim,2
beyond,2
injustice,2
conflicts,2
result,2
legislative,2
rule,2
economics,2
herzl,2
masalha,2
ican,2
egypt,2
khalid,2
judicial,2
icg,2
near,2
memory,2
faisal,2
abuse,2
trial,2
relief,2
clarke,2
sity,2
received,2
reid,2
concept,2
tamar,2
israelis,2
weinberg,2
radwan,2
people,2
statistics,2
mise,2
nassar,2
holocaust,2
this,2
solution,2
legacy,2
working,2
cold,2
archaeology,2
cssame,2
mitchell,2
agement,2
characteristics,2
deviant,2
ent,2
when,2
roots,2
joel,2
samir,2
crime,2
salah,2
nation,2
humanist,2
pilgrimage,2
comparative,2
community,2
dle,2
defever,2
mission,2
robert,2
sociological,2
islam,2
two,2
reports,2
french,2
challenge,2
mark,2
arye,2
smith,2
plan,2
children,2
end,2
man,2
aquifer,2
patterns,2
nytbr,2
ur,2
where,2
paix,2
simon,2
imad,2
investment,2
uri,2
ehud,2
orna,2
elections,2
tolerance,2
implementation,2
saad,2
theoretical,2
moral,2
issn,2
aruri,2
irani,2
problems,2
eyes,2
newspapers,2
james,2
galilee,2
morris,2
wells,2
brown,2
justice,2
tariq,2
increasing,2
states,2
aid,2
africa,2
ing,2
bureau,2
george,2
science,2
humanitarian,2
mw,2
ryan,2
bulletin,2
legitimacy,2
citizenship,2
dans,2
united,2
sylvie,2
arts,2
eugene,2
joseph,2
eyal,2
following,2
lessons,2
crescent,2
regime,2
alain,2
guerre,2
mamduh,2
warschawski,2
inquiry,2
post,2
greenberg,2
elia,2
pour,2
hydrology,2
places,2
lens,2
eban,2
abigail,2
iraqi,2
making,2
ramallah,2
map,2
theory,2
heurs,2
institute,2
