WORDCOUNTS,WEIGHT
the,610
of,508
and,434
in,368
a,293
to,230
that,223
pitch,215
tempo,189
were,120
are,104
with,101
melodies,95
timbre,90
or,85
for,83
was,83
as,83
one,82
on,79
by,78
changes,76
same,73
is,73
e,72
perception,70
loudness,67
g,65
musical,63
s,62
within,61
from,59
comparison,59
m,56
this,56
music,55
when,55
these,53
pairs,51
than,51
faster,51
slower,49
an,48
which,45
different,45
melodic,44
contour,43
two,42
standard,42
perceived,39
participants,39
more,38
research,37
effects,36
change,35
their,34
dimensions,34
melody,32
vs,32
have,32
between,32
such,31
also,31
other,30
auditory,30
but,30
while,30
c,30
judged,29
all,29
i,29
those,29
direction,29
set,29
differences,28
both,28
they,27
relative,27
be,27
j,26
variations,26
journal,26
higher,26
each,26
boltz,25
performance,25
r,25
experimental,25
time,25
number,25
psychology,25
at,24
found,24
p,24
another,24
effect,24
perceptual,24
given,24
n,23
level,23
illusory,23
sequences,23
results,23
it,22
has,22
notes,22
high,22
been,22
lower,21
may,21
intensity,21
temporal,21
dimension,21
across,20
am,20
indd,20
human,19
influence,19
octave,19
experiment,19
present,19
paired,19
not,19
here,19
pair,19
observed,19
jones,18
greater,18
order,18
can,18
types,18
over,18
type,18
table,18
ones,18
first,17
context,17
condition,17
base,17
displayed,17
low,17
main,16
marks,16
overall,16
structural,16
frequency,16
brighter,15
rate,15
there,15
relatively,15
w,15
used,15
second,15
judgments,15
listeners,15
through,15
varied,15
task,14
motion,14
acoustical,14
speech,14
studies,13
occurred,13
repp,13
tones,13
study,13
however,13
significantly,13
example,13
its,13
trials,13
percentage,13
increases,13
played,13
press,13
increased,13
should,13
tion,12
ms,12
either,12
decreased,12
l,12
certain,12
instrument,12
responses,12
f,12
containing,12
toward,12
decreases,12
three,12
duller,12
marilyn,12
relationship,12
displaying,12
constant,12
psychophysics,12
correlated,12
cognitive,12
alone,11
h,11
some,11
expected,11
turn,11
lastly,11
means,11
eitan,11
scale,11
tone,11
always,11
timbres,11
louder,11
neuhoff,11
findings,11
respectively,11
note,11
softer,11
magnitude,11
bright,11
seem,11
any,11
shown,11
conditions,11
no,10
similar,10
university,10
accents,10
memory,10
event,10
stimulus,10
significant,10
qualities,10
finding,10
although,10
interaction,10
among,10
large,9
amplitude,9
past,9
rhythm,9
even,9
instruments,9
function,9
four,9
most,9
rule,9
ceived,9
future,9
related,9
contrast,9
movement,9
pp,9
processing,9
others,9
covariations,9
d,9
tempi,9
b,9
k,9
equivalent,9
who,9
reported,9
conversely,9
asked,9
hypothesis,9
if,8
comparisons,8
into,8
total,8
accent,8
fast,8
tonal,8
ascending,8
expectancy,8
events,8
small,8
several,8
presence,8
patterns,8
discrimination,8
increase,8
actual,8
general,8
