WORDCOUNTS,WEIGHT
the,227
of,186
and,124
in,111
to,79
a,77
that,46
are,41
tree,35
is,32
from,31
for,30
rings,26
growth,25
have,25
says,24
on,24
by,23
as,20
years,20
trees,20
s,19
with,17
past,16
has,16
new,16
one,15
fire,15
data,15
be,15
at,14
ring,14
over,14
which,14
swetnam,14
patterns,13
this,13
can,13
it,12
these,12
such,12
or,11
more,11
time,11
researchers,11
we,11
may,10
now,10
been,10
changes,10
forests,10
growing,10
also,10
el,10
information,10
chronologies,10
climatic,10
climate,10
annual,10
recent,10
an,10
model,9
mexico,9
niño,9
fires,9
not,9
variation,9
regions,9
environmental,8
hughes,8
they,8
often,8
studies,8
into,8
record,8
some,8
very,8
most,8
were,8
temperature,8
although,8
century,8
stahle,8
much,8
where,7
he,7
tropical,7
united,7
forest,7
based,7
historical,7
number,7
possible,7
conditions,7
dendrochronology,7
states,7
between,7
when,7
will,6
today,6
across,6
analysis,6
rainfall,6
douglass,6
history,6
but,6
measurements,6
only,6
reconstructions,6
decades,6
niña,6
species,6
cell,6
how,6
particular,6
seasonal,6
network,6
size,6
variability,6
than,6
change,6
you,6
few,6
northern,6
la,6
if,5
ltrr,5
ecological,5
tropics,5
dry,5
detailed,5
their,5
southern,5
university,5
long,5
know,5
other,5
scientists,5
areas,5
larger,5
those,5
what,5
see,5
because,5
sites,5
activity,5
work,5
events,5
ecosystems,5
ldeo,5
precipitation,5
like,5
ecology,5
several,5
structure,5
through,5
even,5
southwest,5
world,5
north,5
fritts,5
using,4
provide,4
determine,4
study,4
get,4
us,4
temperate,4
same,4
series,4
ever,4
first,4
regional,4
all,4
longer,4
global,4
out,4
far,4
there,4
living,4
normal,4
making,4
temperatures,4
understanding,4
tool,4
taking,4
including,4
example,4
techniques,4
year,4
reconstruct,4
records,4
processes,4
build,4
actual,4
southwestern,4
models,4
since,4
twentieth,4
responses,4
effects,4
hemisphere,4
region,4
outbreaks,4
early,4
reduced,3
frequent,3
complex,3
levels,3
widespread,3
remote,3
allen,3
still,3
mountains,3
team,3
spanning,3
biological,3
shashkin,3
decade,3
western,3
cycles,3
was,3
before,3
director,3
just,3
disturbances,3
drought,3
temporal,3
part,3
helped,3
important,3
ancient,3
natural,3
many,3
daily,3
striking,3
found,3
particularly,3
reveal,3
wood,3
last,3
density,3
do,3
physiological,3
ground,3
budworm,3
recorded,3
frequency,3
spruce,3
well,3
used,3
both,3
width,3
multiple,3
enormous,3
atmospheric,3
became,3
place,3
needed,3
approach,3
exist,3
thus,3
jacoby,3
dating,3
shown,3
jemez,3
earth,3
cycle,3
working,3
period,3
droughts,3
down,3
around,3
back,3
trying,3
become,3
research,3
fully,3
up,3
notes,3
observed,3
about,3
provided,3
coworkers,3
occur,3
ending,2
happen,2
pacific,2
applications,2
africa,2
russian,2
science,2
bring,2
populations,2
usually,2
sensing,2
created,2
exploring,2
might,2
landscape,2
affected,2
colleagues,2
capture,2
unusual,2
rare,2
sequences,2
becoming,2
center,2
parts,2
kinds,2
matched,2
scales,2
conducting,2
simulates,2
conifers,2
dendrochronologists,2
yet,2
siberia,2
large,2
approaches,2
understand,2
suppression,2
technology,2
give,2
madre,2
established,2
occurred,2
then,2
any,2
under,2
during,2
weather,2
comes,2
exemplify,2
situations,2
summer,2
extending,2
geographic,2
increasingly,2
fact,2
sequence,2
powerful,2
t,2
published,2
grazing,2
physical,2
actually,2
comparing,2
collaborators,2
did,2
available,2
implications,2
taken,2
toward,2
excess,2
disturbance,2
season,2
insect,2
put,2
disappeared,2
matching,2
ranges,2
paper,2
efforts,2
closely,2
different,2
dramatically,2
fundamental,2
occurrence,2
our,2
indicate,2
histories,2
together,2
great,2
effort,2
warm,2
able,2
international,2
farther,2
composition,2
monitoring,2
take,2
i,2
pattern,2
dates,2
others,2
sierra,2
zealand,2
vegetation,2
bands,2
better,2
greatly,2
pine,2
existing,2
context,2
establish,2
spatial,2
them,2
analyses,2
america,2
scale,2
people,2
longest,2
allocation,2
extract,2
produce,2
predict,2
balance,2
thousands,2
don,2
entirely,2
future,2
sixteenth,2
solely,2
crown,2
dynamics,2
norm,2
strongly,2
boreal,2
along,2
samples,2
its,2
warming,2
went,2
significant,2
use,2
lab,2
similar,2
phenomenon,2
exposed,2
resulting,2
human,2
variables,2
laboratory,2
water,2
throughout,2
relationships,2
equatorial,2
historically,2
spring,2
blazes,2
known,2
dendrochronological,2
open,2
astronomer,2
three,2
computer,2
field,2
evidence,2
regime,2
plant,2
indicators,2
regular,2
spans,2
mountain,2
periods,2
area,2
remains,2
shift,2
satellites,2
perspective,2
cellular,2
highly,2
response,2
would,2
generated,2
respond,2
continuous,2
networks,2
visible,2
develop,2
strong,2
wet,2
climates,2
ago,2
arizona,2
separate,2
limiting,1
fir,1
increasing,1
newer,1
south,1
palisades,1
blanket,1
carried,1
dendroclimatologists,1
mechanisms,1
henri,1
go,1
seasons,1
steps,1
climatologist,1
definitively,1
sample,1
currently,1
mostly,1
recognized,1
york,1
whose,1
cambial,1
insects,1
payoffs,1
onset,1
no,1
window,1
bringing,1
complexion,1
predicted,1
collected,1
attributable,1
way,1
fairly,1
continued,1
his,1
simulated,1
links,1
fluctuated,1
identified,1
performance,1
strike,1
absent,1
centered,1
short,1
expand,1
manifestation,1
obtained,1
stop,1
groves,1
heels,1
edward,1
site,1
infestation,1
microdensitometry,1
separated,1
basic,1
begin,1
wall,1
niños,1
latitudinal,1
reconstructed,1
understood,1
resulted,1
exists,1
nonequilibrium,1
outlying,1
responded,1
process,1
becomes,1
mean,1
comparable,1
dimensions,1
measures,1
academy,1
active,1
environments,1
july,1
being,1
reconstruction,1
tools,1
grasses,1
intervention,1
make,1
continental,1
expanded,1
visual,1
lasted,1
monsoon,1
supplement,1
ice,1
seemingly,1
landscapes,1
unprecedented,1
humans,1
observatory,1
group,1
try,1
asia,1
length,1
led,1
fat,1
ongoing,1
life,1
selection,1
ungrazed,1
spectacular,1
southeast,1
construction,1
kill,1
tend,1
stem,1
rosanne,1
collecting,1
govern,1
douglas,1
pines,1
once,1
patches,1
intensity,1
frontier,1
greening,1
communities,1
alive,1
climatologists,1
parameters,1
snowmelt,1
gathering,1
ways,1
mexican,1
seedlings,1
puzzles,1
reference,1
examined,1
perfected,1
represents,1
ensures,1
nor,1
gathered,1
numbers,1
applied,1
predating,1
vastly,1
plus,1
stable,1
former,1
chronology,1
escaped,1
arrigo,1
undertaken,1
vitally,1
burned,1
statistical,1
wetter,1
throwing,1
necessarily,1
beams,1
intensive,1
unlike,1
share,1
laid,1
variable,1
magnitude,1
departure,1
progressing,1
total,1
stumps,1
equations,1
checked,1
light,1
associated,1
complete,1
something,1
bowl,1
mysterious,1
subarctic,1
planet,1
source,1
detected,1
diversity,1
conjunction,1
upper,1
must,1
conifer,1
ve,1
four,1
two,1
test,1
commonly,1
unusually,1
simply,1
noted,1
parklike,1
archaeologists,1
follow,1
storm,1
precise,1
changed,1
thousand,1
present,1
lifespan,1
organization,1
invention,1
simulation,1
rather,1
resolution,1
favorable,1
rocky,1
matured,1
searching,1
questions,1
sections,1
set,1
coauthored,1
technique,1
power,1
changeability,1
integrative,1
synchronized,1
suggested,1
ceased,1
again,1
discrepancies,1
centers,1
appear,1
knowing,1
compiled,1
amazing,1
anywhere,1
kenya,1
allow,1
principle,1
control,1
charcoal,1
each,1
sure,1
whereas,1
nature,1
interrupted,1
melt,1
sheep,1
specialized,1
steven,1
georgia,1
came,1
d,1
shaped,1
idea,1
snowfall,1
precision,1
limit,1
rainwater,1
elevational,1
europe,1
latitudes,1
wooden,1
krasnoayrsk,1
best,1
administer,1
pressure,1
lava,1
overall,1
calibrate,1
called,1
simple,1
strength,1
versatility,1
episodic,1
teak,1
attack,1
timing,1
disturbed,1
ambitious,1
paleoecologist,1
scar,1
assembled,1
terrestrial,1
signify,1
collectors,1
cells,1
correlations,1
mongolia,1
link,1
ocean,1
molecular,1
radial,1
cook,1
zone,1
remain,1
hundred,1
survey,1
endeavor,1
resolved,1
examining,1
originating,1
russia,1
thaw,1
help,1
independent,1
cores,1
proposed,1
fragments,1
pre,1
mountainous,1
parallel,1
realizations,1
places,1
state,1
date,1
considered,1
further,1
burning,1
precisely,1
wildfires,1
reasons,1
born,1
high,1
exactly,1
formation,1
realize,1
focused,1
discipline,1
ruins,1
block,1
market,1
stock,1
within,1
continuing,1
developing,1
assess,1
carefully,1
worldwide,1
burns,1
whether,1
vulnerable,1
defoliating,1
recently,1
thawing,1
idiosyncrasies,1
neither,1
stability,1
form,1
unsuspected,1
less,1
cause,1
answer,1
cannot,1
real,1
case,1
dendrochronologist,1
want,1
grow,1
phenomena,1
material,1
lets,1
focusing,1
climatological,1
moisture,1
perhaps,1
absolute,1
instrumental,1
facilities,1
arrival,1
numerous,1
abrupt,1
enough,1
adaptation,1
key,1
wide,1
