WORDCOUNTS,WEIGHT
the,742
of,668
and,286
a,270
in,214
to,191
university,178
for,135
m,128
s,112
e,104
j,101
l,94
h,93
on,89
has,82
d,81
at,79
w,77
mathematical,76
with,76
as,73
r,72
g,71
mathematics,70
be,68
b,66
statistics,66
is,66
i,65
c,64
institute,58
professor,52
p,52
will,52
committee,50
research,50
from,50
been,48
annals,47
f,47
by,45
papers,43
are,41
department,41
state,38
that,37
news,37
notices,36
t,36
this,35
statistical,34
dr,32
was,31
more,31
new,31
have,31
california,30
an,28
members,26
office,26
chairman,26
position,25
jr,25
journal,25
which,25
meeting,25
associate,24
school,23
ims,22
stanford,22
it,21
o,21
laboratory,21
exchanges,21
tables,21
american,21
probability,21
year,21
washington,21
he,20
sciences,20
accepted,19
conference,19
policy,18
during,18
were,18
de,17
society,17
its,17
or,17
council,17
national,17
laboratories,17
general,17
exchange,17
not,17
north,17
college,16
one,16
assistant,16
report,16
iowa,15
invited,15
carolina,15
technology,15
time,15
john,15
program,15
board,15
n,15
appointed,15
there,14
formerly,14
these,14
continued,14
ph,14
theory,14
information,14
years,14
association,14
now,13
staff,13
design,13
columbia,13
special,13
corporation,13
two,13
v,13
problems,13
bowker,13
series,13
membership,13
u,13
should,13
center,12
member,12
all,12
bell,12
x,12
no,12
k,12
michigan,12
journals,12
organizations,12
less,12
symposium,12
we,12
following,12
first,11
some,11
may,11
york,11
his,11
space,11
directly,11
received,11
june,11
division,11
authors,11
anderson,11
distribution,11
illinois,11
other,10
normal,10
since,10
facilities,10
gilford,10
olkin,10
also,10
tukey,10
ex,10
co,10
would,10
applicable,10
officio,10
science,10
analysis,10
berkeley,10
each,10
our,10
increase,10
ii,9
secretary,9
those,9
y,9
air,9
hartley,9
annual,9
about,9
under,9
many,9
pennsylvania,9
degree,9
august,9
david,9
period,9
study,9
applications,9
results,9
manuscripts,9
emphasis,9
city,9
editor,9
kruskal,9
wilk,9
western,8
total,8
eastern,8
september,8
than,8
operations,8
hodges,8
standards,8
work,8
place,8
massachusetts,8
activities,8
smith,8
systems,8
ave,8
katz,8
visiting,8
terms,8
virginia,8
resignation,8
statistician,8
increased,8
zelen,8
fellows,8
page,7
group,7
into,7
chief,7
affiliation,7
z,7
their,7
established,7
section,7
most,7
had,7
danger,7
war,7
recently,7
issues,7
